FID,Z_1,Z_2,ela_conv_conv_prob,ela_curv_grad_norm_min,ela_curv_grad_norm_lq,ela_distr_skewness,ela_distr_number_of_peaks,ela_level_lda_qda_10,ela_level_lda_qda_25,ela_meta_lin_simple_adj_r2,ela_meta_quad_w_interact_adj_r2,ic_eps_max,ic_eps_ratio,nbc_nb_fitness_cor,EMNA,PSO,RandomSearch,EMNA_bin,PSO_bin,RandomSearch_bin
F1_I36,1.77692081385901,0.745232077874477,1,1.02869368725979e-06,4.1774129366755e-08,0.232678859351476,0.0416666666666666,0.094093804284887,0.193347193347193,0.735479225817952,1,3.87505851051355e-08,0.059090909090909,0.462710257804961,0.931105107654499,0.835768824716812,0.40654368149622,1,1,1
F1_I37,2.053937002408,0.471228752363637,1,7.13091672301923e-07,4.50964100205306e-08,0.230607935228596,0,0.138004246284501,0.195675675675676,0.795906133237309,1,2.7891143890943e-08,0.0613636363636363,0.49595055393113,1.12827816065983,1.01974369992736,0.413798366879337,1,1,1
F1_I38,1.87256453966844,0.900606897285348,1,6.7862728668866e-07,4.22709086380674e-08,0.242808920416451,0,0.0899213188460097,0.22031122031122,0.722394151825088,1,2.48893801368139e-08,0.034090909090909,0.451392954647026,0.832489031879315,0.82632499646276,0.398503760024354,1,1,1
F1_I39,2.47882404043141,0.277691541231164,1,8.75830832110786e-07,4.43560789221967e-08,0.232650676205295,0,0.155488947171225,0.279279279279279,0.773025569920218,1,3.11828158609993e-08,0.0636363636363636,0.500889660742375,1.04054513523147,0.953851929954073,0.387893375391044,1,1,1
F1_I40,1.80830892693821,0.604182109608471,1,5.66958007153838e-07,5.42442294697814e-08,0.229632396339771,0,0.0785562632696391,0.207207207207207,0.859824504986667,1,2.7891143890943e-08,0.0636363636363636,0.447599408923305,1.44496610225651,1.11329517903277,0.40708460121385,1,1,1
F1_I42,1.96829601305077,0.437586194526006,1,9.01506341659081e-07,4.81414213049679e-08,0.236489430613467,0,0.133359872611465,0.191191191191191,0.811156693273867,1,3.29460144678092e-08,0.0681818181818181,0.484367918121087,1.20558191032137,1.00343199154061,0.395196521085023,1,1,1
F1_I43,2.08810162623768,0.505030121199436,1,6.75021283353985e-07,5.220197362916e-08,0.236936418136104,0,0.0934182590233546,0.201663201663202,0.863788501785906,1,3.11828158609993e-08,0.0636363636363636,0.531601801832733,1.3888968203273,1.10246418761167,0.378922726840266,1,1,1
F1_I44,1.69668660530621,0.737040505571001,1,8.04136163095793e-07,4.59184262979642e-08,0.232342641950762,0,0.0839606253618993,0.212972972972973,0.781776087192563,1,3.67258822556298e-08,0.059090909090909,0.418906388718073,1.13611860604152,0.93794099196338,0.435609250091492,1,1,1
F1_I46,2.29634552582362,0.0790304756386399,1,5.6062455449686e-07,4.49008522539582e-08,0.238938323527801,0,0.246091488129705,0.163034001743679,0.800028946811586,1,2.7891143890943e-08,0.0545454545454545,0.486388339872726,1.08089745876874,0.921818268338008,0.386412264906995,1,1,1
F1_I47,2.18751607364885,0.359211073331869,1,6.80617035307248e-07,4.49214434889406e-08,0.233280476443387,0,0.133359872611465,0.243243243243243,0.800720704394967,1,3.67258822556298e-08,0.0704545454545454,0.484233751365668,1.06573836672788,0.997545193862241,0.356504392453988,1,1,1
F1_I48,2.25234875578805,0.201899822892906,1,6.47104992806187e-07,4.14628487039148e-08,0.222397546742025,0.0416666666666666,0.24203821656051,0.213213213213213,0.679996300452953,1,2.94990518834161e-08,0.0568181818181817,0.426095846747807,0.822919223962871,0.857649995537539,0.410963955272781,1,1,1
F1_I49,1.87257937481056,0.56123448366217,1,6.61103514872614e-07,4.86556683955124e-08,0.234672046729323,0,0.0934182590233546,0.196911196911197,0.827721188199003,1,4.78507227473462e-08,0.0704545454545454,0.488723622502063,1.26457548490623,1.02401557581021,0.409934157040156,1,1,1
F1_I50,2.16801742412242,0.272069935589716,1,1.01062778730729e-06,4.61748917989877e-08,0.225486041064775,0,0.185292414591778,0.195675675675676,0.792764991701022,1,2.94990518834161e-08,0.0636363636363636,0.479288144972179,1.15148575127398,0.952194414680898,0.407779096555536,1,1,1
F2_I1,1.47535519228078,-3.33788774626607,0.977,0.0068842035500468,0.0092640872025761,0.277629396433475,0.25,0.157559503855179,0.537744641192917,0.665179662465332,0.998970141740865,0.0065738139926692,0.679545454545454,0.623461553817236,5.08172893804681,4.45068877663267,3.54132842230873,0,0,0
F2_I4,0.153589294861371,-3.56827688171194,0.904,0.0007265466747204,0.0101265233854518,0.264629593817623,0.333333333333333,0.272691082802548,0.0918918918918918,0.870777794111593,0.997383513988868,0.0125342365407772,0.7,0.686714308769844,6.22747551362054,4.60930480344552,3.62169899902332,0,0,0
F2_I5,-1.33942306754305,-1.60477993120799,0.967,0.0157693545016215,0.0093307708751346,0.24838792542693,0.125,0.150389242745931,0.297297297297297,0.016762660601942,0.998763945972756,0.0072087088869726,0.693181818181818,0.402327983249705,3.30349157831966,2.47911991546329,3.62131907337861,0,0,0
